student_id,course_id,chapter_order,time_spent,score,completion_status
S001,C01,1,22,88,1
S001,C01,2,28,85,1
S001,C01,3,32,82,1

S002,C01,1,35,72,1
S002,C01,2,48,65,0
S002,C01,3,55,58,0

S003,C01,1,20,92,1
S003,C01,2,24,90,1
S003,C01,3,28,88,1

S004,C01,1,42,68,1
S004,C01,2,58,60,0
S004,C01,3,65,52,0

S005,C01,1,25,85,1
S005,C01,2,30,82,1
S005,C01,3,35,80,1

S006,C01,1,50,62,0
S006,C01,2,68,55,0
S006,C01,3,72,50,0

S007,C01,1,23,90,1
S007,C01,2,26,88,1
S007,C01,3,30,85,1

S008,C01,1,38,70,1
S008,C01,2,52,62,0
S008,C01,3,58,55,0

S009,C01,1,28,82,1
S009,C01,2,32,80,1
S009,C01,3,36,78,1

S010,C01,1,55,60,0
S010,C01,2,70,52,0
S010,C01,3,75,48,0
